ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
3473520160,1000 Gefahren. Die Spur des BÃ?Â¤ren. ( Ab 10 J.).,R. A. Montgomery,1996,Ravensburger Buchverlag
3473520845,Die kleine Eule. ( Ab 8 J.).,Jill Tomlinson,1997,Ravensburger Buchverlag
3476018733,Glenn Gould. Oder die Kunst der Interpretation.,Kevin Bazzana,2002,Metzler
3499134039,"Schade, daÃ?Â? du nicht tot bist. Ein Fall fÃ?Â¼r Mrs. Murphy.",Rita Mae Brown,1994,Rowohlt Tb.
3499192497,Programmiersprache Assembler. Eine strukturierte EinfÃ?Â¼hrung.,Reiner Backer,2002,Rowohlt Tb.
349920326X,"Wer Hat Dich, Du Schoner Wald...",Marcks,0,Rowohlt Taschenbuch Verlag GmbH
3502122865,Der magische Kubus.,Annie Gottlieb,2002,Scherz
3518372408,Terminus und andere Geschichten vom Piloten Pirx.,Stanislaw Lem,1996,Suhrkamp
3548256503,Seeteufel. Abenteuer aus meinem Leben.,Felix Graf von Luckner,2002,Ullstein Tb
3548346839,Mein Weltbild.,Albert Einstein,1998,Ullstein Buchverlage GmbH &amp; Co. KG / Ullstein Tas
3570190269,Wahnsinn Wachstum. Wieviel Mensch ertrÃ?Â¤gt die Erde.,Reiner Klingholz,1994,Gruner &amp; Jahr
3570500284,No Logo.,Naomi Klein,2002,Riemann Verlag
3596147832,Das Haus der Harmonie.,Barbara Wood,2000,"Fischer (Tb.), Frankfurt"
3596150434,Der Taucher und das Weh der See. Bekanntschaften mit Menschen und Tieren.,Alfred Kerr,2001,"Fischer (Tb.), Frankfurt"
3596221897,Im Atemhaus wohnen: Gedichte,Rose AuslÃ¤nder,1988,Fischer Taschenbuch Verlag
3629016642,Feuer des Herzens. Briefe an eine Freundin.,Susanna Tamaro,2003,Pattloch
3746618533,Die Namenlosen.,HansjÃ?Â¶rg Schertenleib,2002,Aufbau Tb
3762604460,Das neue Bach - BlÃ?Â¼ten- Buch.,GÃ?Â¶tz Blome,2002,Vak-Verlag
3775120661,Bevor du Ja sagst,Harry MÃ?Â¼ller,2001,HÃ?Â¤nssler
3791535560,Heimatlos. ( Ab 12 J.).,Hector Malot,1996,Dressler Verlag
3802512685,"Ein ganz besonderer Saft, Urin.",Carmen Thomas,1997,Vgs Verlagsges.
3810506338,Hannas TÃ?Â¶chter.,Marianne Fredriksson,1997,"KrÃ?Â¼ger, Frankfurt"
3822812862,Dessous (TASCHEN Icons Series),Gilles Neret,2001,Taschen
3822895628,Alfons Mucha,Taschen Publishing,1997,Benedikt Taschen Verlag
3822896330,Roy Lichtenstein (Basic Series),Janis Hendrickson,1996,Benedikt Taschen Verlag
8321803059,Autopsja czyli dziennik kryzysu,Jacek Krakowski,1984,Wydawn. Â¡Ã³dzkie
8401442230,Rey de gatos (Rotativa ; 215 : Novela),Concha AlÃ³s,1979,Plaza &amp; JanÃ©s
8401490774,Dinastia/Dynasty,Eileen Lottman,1986,Lectorum Pubns (Adult)
8408014692,"Muera la inteligencia! Viva la muerte!: Salamanca, 1936, Unamuno y MillÃ¡n Astray frente a frente (Memoria de la historia)",Carlos Rojas,1995,Planeta
8408032143,"Faraon Negro, El",Christian Jacq,1999,Planeta
8408044141,El Imperio De Las Tinieblas. LA Reina Libertad I,Christian Jacq,2002,Planeta
8423901122,Abel Sanchez,Miguel De Unamuno,1998,Continental Book Co Inc
8423974049,Historia de Una Escalera,Antonio Buero Vallejo,1975,Continental Book Co Inc
8429434895,El oro de los sueÃ±os (Leer en espaÃ±ol nivel 4),Jose Maria Merino,1998,Santillana USA Publishing Company
8432035041,Les aventures del cavaller Kosmas (ColÂ¨lecciÃ³ Ramon Llull. SÃ¨rie NovelÂ¨la),Juan Perucho,1981,Planeta
8433966324,Sostiene Pereira,Antonio Tabucchi,1999,Anagrama
843502704X,Principios de La Filosofia del Derecho,Georg Wilhelm Friedri Hegel,2000,Edhasa
8440652410,"Muerte De Un Forense (Fiction, Poetry and Drama)",James,0,"Ediciones B, SA"
8440672179,"Efecto Practica, El",David Brin,1999,Ediciones B
8440685955,El Orgullo del Espiritu,Rosemary Altea,1998,Ediciones B
8474237297,Panfleto desde el planeta de los simios (Las letras de drakontos),Manuel VÃ¡zquez MontalbÃ¡n,1995,CrÃ­tica Grijalbo Mondadori
8483100711,La Cuarentena,J.M.G. Le Clezio,2002,Tusquets
8486036615,Vocabulario bÃ¡sico bilingÃ¼e: AragonÃ©s-castellano y castellano-aragonÃ©s (Puens enta ra parola),Antonio MartÃ­nez Ruiz,1997,Publicazions d'o Consello d'a Fabla Aragonesa
8486344913,Amate a TI Mismo: Cambiaras Tu Vida : Manual De Trabajo/141,Louise L. Hay,1992,Ediciones Urano
8489847487,"Guardias Civiles, Esos Ciudadanos Uniformados: 25 A~nos de Lucha Por La Democratizacion y El Asociacionismo En La Guardia Civil, 1976-2001: 25 Visione",Fernando Carrillo,2001,Germania
8497161637,Pequeno Tratado de Accion,Denise Desjardins,2003,Olaneta
8804453257,Itaca Per Sempre,Luigi Malerba,1999,Mondadori (IT)
8804484128,Scomparsa Di Pato,Andrea Camilleri,0,Mondadori Italian
9023405145,Wat enigjes (BB literair),Marten Toonder,1975,De Bezige Bij
9500285738,Los Viajes de Gulliver,Martin Hargreaves,2001,El Ateneo
958704049X,El hombre duplicado,Jose Saramago,2002,"Alfaguara Ediciones, S.A. (Spain)"
9657193125,Let My People Go!,Tom Hess,2004,Progressive Vision International
9682319013,Las Palabras Andantes,Eduardo Galeano,1994,"Siglo XXI Editores, S. A. de C. V."
972210375X,Historia Do Cerco De Lisboa,Jose Saramago,1989,Editorial Caminho
9838523283,Trilogi Khadijah Hashim,Khadijah Hashim,1999,'K' Pub
987960170X,Kolon,Raul Alberto Lilloy,1996,Ediciones Riverrum
